,p158,p159,p160,p23,p24
r99,2011074.095,2879920.276,288808.3793,1569429.728,177730.9198
r100,1.038793103,1,1.034482759,1.082682591,1.063291139
r101,2069260.401,2879920.276,290554.069,1727406.125,180189.8565
r102,0.001103889,0.007877511,0.006529328,0.000477713,0.002369507
r103,0.001103609,0.007877511,0.006528646,0.000475617,0.00236077
r104,0.990301724,1,0.99137931,0.979329352,0.984177215
r105,1996527.518,2879920.276,288371.9569,1529935.628,177116.1857
r106,0.001103539,0.007877511,0.006528476,0.000475093,0.002358585
r107,-25064.90898,-42092.58438,-16123.41426,-12666.82832,-9413.009668
r108,-1108.889844,-7067.592285,-2970.259448,788.4138916,-718.9658447
r109,2.20415E+11,87888959441,16754817145,1.42753E+11,13755931992
r110,9.229829534,6.925692561,7.215875823,9.376439263,7.800017895
r111,15060.03149,19292.47656,7247.284912,7707.741455,4016.164032
r112,2.412596211,2.800579649,2.805510332,3.46706487,5.206825231
r113,5997.767578,-1083.711548,-1774.87854,13284.37402,379.8164368
r114,7883.753238,10855.36903,4250.80011,4546.393111,2781.070872
r115,-12214.56641,-22653.64759,-8359.017779,-5685.629931,-3929.535143
r116,-11135.3623,-20253.49023,-7202.164063,-5357.958984,-2653.126587
r117,-38193.23438,-61046.04688,-21974.3457,-26041.98633,-18107.44531
r118,44191.00195,59962.33533,20199.46716,39326.36035,18487.26175
r119,5947.801385,7774.272507,3108.290982,3143.438744,1745.117926
r120,15411.54688,26306.63511,9812.851398,8097.737086,5387.109946
r121,-0.443723834,-0.658225018,-0.843688785,-0.10674326,-1.570050065
r122,9.58036E+12,8.59524E+12,8.33784E+11,7.12249E+12,7.42354E+11
r123,0.001871842,0.008370017,0.007134364,0.001785696,0.005456747
r124,88320144.39,178851301.5,26418874.32,33246958.2,13579707.13
r125,-22861.59082,-40085.38828,-15363.65186,-11772.01484,-8371.667432
r126,-6.129467869,-4925.291309,-2018.645129,1439.417505,-404.2934601
r127,1.77284E+11,74340878501,14364223347,1.21995E+11,10896189587
r128,9.199872347,6.909944529,7.197225752,9.382369558,7.733165911
r129,14444.94885,19629.55469,7047.098083,7474.739014,3350.336975
r130,2.286631335,2.745915263,2.748715155,3.52114022,5.810872831
r131,,1274.606079,-871.1710205,13120.91895,702.9316406
r132,7453.122134,10533.89975,4214.22807,4403.47321,2529.792183
r133,-10624.79805,-20374.59586,-7524.275641,-4972.551648,-3369.210232
r134,-9764.211426,-18761.20898,-6470.955811,-4781.896484,-2223.120605
r135,-34290.18359,-57812.99609,-20585.47461,-25610.60938,-17418.16992
r136,41115.55371,59087.60217,19714.30359,38731.52832,18121.10156
r137,5679.160908,7613.594767,3078.440992,3029.989131,1531.577379
r138,13821.68333,24194.23998,9085.868574,7485.874766,4794.553342
r139,-0.383714423,-0.599253891,-0.819861631,-0.137944225,-1.697083058
r140,7.70568E+12,7.27029E+12,7.14819E+11,6.08681E+12,5.88025E+11
r141,0.001909,0.008494017,0.007200423,0.001758688,0.005545764
r142,78152596.33,170237091.6,25938283.82,31312051.13,11636164.16
r143,-20432.53867,-36420.79844,-14165.31328,-10765.94629,-7149.847217
r144,928.2013611,-2298.109229,-1190.647717,2012.359155,-106.0210487
r145,1.37495E+11,60827755629,11683734387,1.00805E+11,8251673697
r146,9.229408888,6.909944529,7.174237246,9.33203415,7.737153918
r147,13686.68326,18799.979,7083.531128,7044.459412,2844.01239
r148,2.171590267,2.650865489,2.653125888,3.535368259,6.43313332
