ID,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
R01-061,-4.29,-4.49,-1.89,1.45,-0.69,1.5,-0.71,-3.92,4.03,-6.08,-4.35,3.35,2.29,-0.04,-1.07,-0.2,1.07,0.24
R01-066,-0.37,1.12,-2.68,-2.71,-1.95,3.21,1.69,-5.96,2.67,-2.12,0.62,-3.41,0.58,0.37,-1.85,-1.5,0.3,-0.01
R01-067,-0.87,2.19,-0.8,1.97,-1.45,-1.03,-0.44,5.85,-5.18,9.7,-0.1,-3.04,-2.66,-0.89,-2.22,-3.02,0.52,2.07
R01-069,5.53,30.37,1.06,-8.2,-1.52,-1.09,2.39,-0.24,-6.37,11.43,8.25,-7.35,-2.12,-0.6,0.1,-0.95,0.03,-0.37
R01-072,-3.42,-3.94,0.94,6.03,-2.54,-1.93,-2.54,9.12,-5.75,9.26,-8.04,12.16,2.18,-0.3,-0.67,-1.11,8.52,-3.15
R01-073,-6.66,-3.68,-0.5,6.58,-1.38,-1.14,-2.81,3.6,-3.27,3.05,-5.83,8.72,2.19,-0.39,-0.09,1.73,-5.4,-0.68
R01-075,-2.64,6.5,2.63,-1.25,-1.29,2.77,2.35,-1.31,0.86,-1.68,-1.28,-0.11,0.14,2.73,-0.2,2.1,-0.77,-0.71
R01-076,-3.84,-3.28,0,1.13,-0.28,1.53,0.16,-4.93,4.4,-7.23,-4.85,2.32,0.53,0.8,0.02,2.08,-0.54,-0.55
R01-078,1.32,3.08,1.5,-2.01,-1.96,0.92,2.5,-3.5,3.16,-4.54,0.65,-2.98,-2.17,0.18,0.38,1.03,-0.05,-0.22
R01-079,-2.36,0.24,4.18,5.89,1.4,-5.85,-4.49,13.91,-3.69,5.06,-2.53,2.2,-2.57,-0.8,0.16,-0.33,0.27,-0.77
R01-081,5.23,-3.73,1.35,-2.16,4.92,-3.06,-3.13,-0.29,2.7,-6.58,4.6,-1.18,-1.29,0.81,2.11,0.1,-0.41,-0.22
R01-083,-0.47,-5.56,-0.06,4.4,0.79,-2.13,-2.88,3.14,0.49,-2.57,-4.96,8.93,2.73,-2.05,0.7,-3.14,3.8,-1.5
R01-085,-0.74,-5.77,-1.33,6.85,-1.21,1.5,-2.44,-3.64,2.32,-5.31,-4.47,12.38,5.59,4,-0.77,-2.11,-0.33,-0.28
R01-089,-0.81,13.13,1.72,-3.74,-2.12,6.02,12.68,-8.32,3.74,-3.28,2.03,-5.4,-0.1,-0.89,1.81,0.27,0.22,-0.24
R01-095,-4.68,-2.44,0.03,9.23,3.03,-5.54,-4.33,12.66,-5.7,7.46,-3.87,0.65,-2.42,-1.48,2.46,0.62,1.11,0.35
R01-098,-2.68,1.34,-0.26,-0.12,-0.89,-0.1,-0.86,-0.85,0.47,-1.97,-2.85,-1.22,-0.57,-0.02,-1.23,0.28,-0.2,-0.52
R01-099,0.45,2.87,0.69,-2.95,-1.65,6.16,6.32,-8.24,7.42,-8.23,0.07,-2.84,0.43,1.56,0.86,4.16,0.04,-0.26
